tourn_type,tourn_name,tourn_id,tourn_location,tourn_start_year,tourn_ground,tourn_value,tourn_winner,winner_id
ATP 250,Moscow (Suspended),438,moscow,2020,Hard,"$668,120",,
ATP 250,Antwerp,7485,antwerp,2020,Hard,"€472,590",Ugo Humbert,hh26
ATP 250,Cologne 2,9406,cologne-2,2020,Hard,"€271,345",Alexander Zverev,z355
ATP 500,Basel (Suspended),328,basel,2020,Hard,"€2,276,790",,
ATP 500,Vienna,337,vienna,2020,Hard,"€1,550,950",Andrey Rublev,re44
ATP 250,Nur-Sultan,9410,nur-sultan,2020,Hard,"$337,000",John Millman,mh30
Masters 1000,ATP Masters 1000 Paris,352,paris,2020,Hard,"€3,732,680",Daniil Medvedev,mm58
ATP 250,Sofia,7434,sofia,2020,Hard,"€389,270",Jannik Sinner,s0ag
Next Gen Finals,Next Gen ATP Finals (Suspended),7696,next-gen-atp-finals,2020,Hard,,,
ATP Finals,Nitto ATP Finals,605,nitto-atp-finals,2020,Hard,"$5,700,000",Daniil Medvedev,mm58
ATP 250,Delray Beach,499,delray-beach,2021,Hard,"$418,195",Hubert Hurkacz,hb71
ATP 250,Antalya,9426,antalya,2021,Hard,"€361,800",Alex de Minaur,dh58
ATP 250,Auckland (Cancelled),301,auckland,2021,Hard,,,
ATP 250,Melbourne 1,8998,melbourne,2021,Hard,"$382,575",Jannik Sinner,s0ag
ATP 250,Melbourne 2,9428,melbourne,2021,Hard,"$320,775",Daniel Evans,e687
ATP 250,Pune (Cancelled),891,pune,2021,Hard,,,
ATP Cup,ATP Cup,8888,atp-cup,2021,Hard,"$4,666,665",Daniil Medvedev,mm58
Grand Slam,Australian Open,580,australian-open,2021,Hard,"A$32,790,000",Novak Djokovic,d643
ATP 250,New York (Cancelled),424,new-york,2021,Hard,,,
ATP 500,Rio de Janeiro (Cancelled),6932,rio-de-janeiro,2021,Clay,,,
ATP 250,Singapore,9460,singapore,2021,Hard,"$541,800",Alexei Popyrin,p09z
ATP 250,Cordoba,9158,cordoba,2021,Clay,"$514,800",Juan Manuel Cerundolo,c0c8
ATP 250,Montpellier,375,montpellier,2021,Hard,"€481,270",David Goffin,gb88
ATP 500,Rotterdam,407,rotterdam,2021,Hard,"€1,314,015",Andrey Rublev,re44
ATP 250,Buenos Aires,506,buenos-aires,2021,Clay,"$589,160",Diego Schwartzman,sm37
ATP 250,Doha,451,doha,2021,Hard,"$1,153,560",Nikoloz Basilashvili,bg23
ATP 250,Marseille,496,marseille,2021,Hard,"€610,315",Daniil Medvedev,mm58
ATP 250,Santiago,8996,santiago,2021,Clay,"$569,010",Cristian Garin,gd64
ATP 500,Dubai,495,dubai,2021,Hard,"$2,048,855",Aslan Karatsev,kc56
ATP 500,Acapulco,807,acapulco,2021,Hard,"$1,204,960",Alexander Zverev,z355
Masters 1000,ATP Masters 1000 Miami,403,miami,2021,Hard,"$4,299,205",Hubert Hurkacz,hb71
ATP 250,Marrakech (Cancelled),360,marrakech,2021,Clay,"€481,270",,
ATP 250,Cagliari,9481,cagliari,2021,Clay,"€408,800",Lorenzo Sonego,su87
ATP 250,Marbella,9462,marbella,2021,Clay,"€408,800",Pablo Carreno Busta,cd85
ATP 250,Houston (Cancelled),717,houston,2021,Clay,,,
Masters 1000,ATP Masters 1000 Monte Carlo,410,monte-carlo,2021,Clay,"€2,460,585",Stefanos Tsitsipas,te51
ATP 500,Barcelona,425,barcelona,2021,Clay,"€1,702,800",Rafael Nadal,n409
ATP 250,Belgrade,5053,belgrade,2021,Clay,"€711,800",Matteo Berrettini,bk40
ATP 250,Estoril,7290,estoril,2021,Clay,"€481,270",Albert Ramos-Vinolas,r772
ATP 250,Munich,308,munich,2021,Clay,"€481,270",Nikoloz Basilashvili,bg23
Masters 1000,ATP Masters 1000 Madrid,1536,madrid,2021,Clay,"€3,226,325",Alexander Zverev,z355
Masters 1000,ATP Masters 1000 Rome,416,rome,2021,Clay,"€2,563,710",Rafael Nadal,n409
ATP 250,Geneva,322,geneva,2021,Clay,"€481,270",Casper Ruud,rh16
ATP 250,Lyon,7694,lyon,2021,Clay,"€481,270",Stefanos Tsitsipas,te51
ATP 250,Parma,9510,parma,2021,Clay,"€541,800",Sebastian Korda,k0ah
ATP 250,Belgrade 2,9512,belgrade,2021,Clay,"€511,000",Novak Djokovic,d643
